S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;poker_hand
Diamonds;Queen;Diamonds;Two;Diamonds;Jack;Clubs;Five;Spades;Five;Two pairs
Hearts;Nine;Clubs;Six;Hearts;Four;Diamonds;Two;Diamonds;Nine;Two pairs
Hearts;Four;Diamonds;King;Spades;King;Spades;Ace;Diamonds;Six;Two pairs
Diamonds;Ten;Spades;Seven;Hearts;Two;Spades;Jack;Clubs;Nine;One pair
Hearts;Three;Clubs;Five;Diamonds;Four;Hearts;Queen;Clubs;Six;One pair
Spades;Six;Clubs;Jack;Spades;Three;Clubs;Nine;Hearts;Seven;One pair
Diamonds;Two;Clubs;Nine;Diamonds;Seven;Clubs;Three;Clubs;Five;One pair
Clubs;Four;Diamonds;King;Hearts;Eight;Diamonds;Nine;Diamonds;Ten;One pair
Hearts;Nine;Diamonds;Eight;Clubs;Four;Hearts;Seven;Diamonds;Five;One pair
Clubs;Seven;Diamonds;Queen;Hearts;King;Hearts;Nine;Spades;Six;One pair
Spades;Queen;Hearts;Three;Spades;Jack;Spades;Seven;Clubs;Eight;One pair
Clubs;Two;Spades;Nine;Spades;Seven;Hearts;Five;Diamonds;Jack;One pair
Hearts;King;Spades;Six;Hearts;Six;Spades;Jack;Diamonds;Five;Two pairs
Diamonds;Eight;Spades;Seven;Hearts;Nine;Diamonds;Six;Spades;Three;One pair
Spades;Ten;Hearts;Jack;Hearts;Nine;Diamonds;Ace;Hearts;King;One pair
Clubs;Two;Clubs;Queen;Spades;Queen;Spades;Seven;Diamonds;Ten;Two pairs
Clubs;Five;Spades;Two;Clubs;Nine;Hearts;Five;Clubs;Ace;Two pairs
Spades;Three;Diamonds;Nine;Spades;Ace;Spades;Six;Clubs;Ten;One pair
Hearts;Seven;Spades;Jack;Clubs;Ace;Spades;Nine;Diamonds;King;One pair
Clubs;Queen;Hearts;Six;Diamonds;Ace;Spades;Two;Hearts;Eight;One pair
Spades;Five;Diamonds;Ace;Diamonds;King;Clubs;King;Diamonds;Eight;Two pairs
Hearts;Three;Clubs;Eight;Spades;Ace;Hearts;Queen;Diamonds;Five;One pair
Spades;Eight;Clubs;Six;Hearts;Queen;Spades;King;Hearts;Eight;Two pairs
Hearts;Seven;Clubs;King;Clubs;Nine;Hearts;Nine;Hearts;Ten;Two pairs
Spades;King;Diamonds;Three;Spades;Jack;Spades;Six;Hearts;Four;One pair
Clubs;Three;Spades;Four;Clubs;Nine;Spades;Eight;Hearts;Jack;One pair
Spades;Five;Diamonds;Seven;Spades;Queen;Diamonds;Three;Spades;Jack;One pair
Diamonds;Four;Spades;Ace;Diamonds;Ten;Hearts;Eight;Clubs;Ace;Two pairs
Clubs;Jack;Spades;King;Clubs;Four;Diamonds;Eight;Clubs;Ace;One pair
Clubs;Ten;Spades;Five;Clubs;Eight;Hearts;Six;Spades;King;One pair
Clubs;Eight;Hearts;Three;Spades;Three;Spades;Two;Spades;Eight;Three of a kind
Hearts;Four;Clubs;Five;Clubs;Three;Hearts;Eight;Clubs;Ace;One pair
Hearts;Seven;Clubs;King;Hearts;Five;Hearts;King;Diamonds;Three;Two pairs
Hearts;Five;Clubs;Six;Diamonds;Eight;Hearts;Jack;Hearts;Two;One pair
Hearts;Nine;Hearts;Six;Clubs;Five;Diamonds;Five;Hearts;Five;Straight
Hearts;Queen;Spades;Ten;Hearts;Six;Spades;King;Clubs;Five;One pair
Hearts;Ten;Hearts;Six;Diamonds;King;Diamonds;Jack;Diamonds;Nine;One pair
Spades;King;Clubs;Seven;Diamonds;Jack;Diamonds;Ten;Diamonds;Nine;One pair
Diamonds;Jack;Spades;Ace;Spades;King;Spades;Jack;Clubs;Ten;Two pairs
Hearts;Eight;Hearts;Three;Clubs;Two;Spades;Seven;Hearts;Four;One pair
Hearts;Seven;Spades;Two;Clubs;Three;Clubs;Nine;Diamonds;Two;Two pairs
Hearts;Ace;Clubs;Five;Clubs;Ace;Diamonds;Seven;Clubs;Four;Two pairs
Hearts;Queen;Clubs;Jack;Spades;Ace;Clubs;Seven;Diamonds;King;One pair
Hearts;Three;Hearts;Nine;Hearts;Four;Clubs;Ace;Hearts;Eight;One pair
Spades;Seven;Diamonds;Seven;Clubs;Four;Hearts;Ten;Hearts;King;Two pairs
Diamonds;Ten;Clubs;Nine;Spades;Four;Diamonds;Six;Hearts;Three;One pair
Diamonds;Jack;Clubs;Three;Spades;Four;Clubs;Seven;Diamonds;Queen;One pair
Spades;Two;Clubs;Three;Clubs;Eight;Hearts;Two;Diamonds;King;Two pairs
Spades;Nine;Spades;Five;Hearts;Six;Clubs;King;Spades;Jack;One pair
Diamonds;Queen;Spades;Seven;Hearts;Nine;Diamonds;Jack;Hearts;Eight;One pair
Diamonds;Five;Clubs;Six;Diamonds;Four;Diamonds;Seven;Diamonds;Two;One pair
Diamonds;Four;Diamonds;Seven;Hearts;Five;Clubs;King;Spades;Two;One pair
Clubs;Six;Spades;Five;Clubs;Jack;Hearts;Two;Diamonds;Three;One pair
Clubs;Three;Spades;Queen;Hearts;Four;Spades;Five;Hearts;Jack;One pair
Clubs;Six;Diamonds;King;Spades;Ace;Spades;Four;Spades;Queen;One pair
Spades;Four;Clubs;Five;Spades;King;Hearts;King;Spades;Three;Two pairs
Clubs;Eight;Spades;Nine;Diamonds;King;Hearts;Two;Hearts;Seven;One pair
Diamonds;Nine;Spades;Three;Diamonds;Two;Spades;Nine;Diamonds;Five;Two pairs
Clubs;Four;Hearts;Jack;Spades;Nine;Clubs;King;Spades;Seven;One pair
Hearts;Five;Hearts;Nine;Spades;Eight;Spades;Four;Clubs;Three;One pair
Clubs;Queen;Clubs;Seven;Clubs;Five;Spades;Ten;Spades;Two;One pair
Clubs;Three;Spades;Four;Clubs;King;Diamonds;Six;Clubs;Queen;One pair
Spades;Five;Clubs;Five;Clubs;Ace;Clubs;Nine;Spades;Seven;Two pairs
Spades;Queen;Diamonds;Queen;Diamonds;Seven;Diamonds;Jack;Spades;Seven;Three of a kind
Clubs;King;Spades;Six;Clubs;Six;Clubs;Ten;Clubs;Nine;Two pairs
Hearts;Nine;Diamonds;Seven;Spades;Nine;Clubs;Nine;Spades;Four;Straight
Hearts;Ten;Diamonds;Three;Spades;Queen;Clubs;Ace;Clubs;Five;One pair
Clubs;Two;Hearts;Four;Hearts;King;Diamonds;Four;Diamonds;Nine;Two pairs
Hearts;Ace;Clubs;Five;Clubs;Seven;Spades;Four;Clubs;Jack;One pair
Hearts;Three;Spades;Nine;Diamonds;Jack;Spades;Ace;Spades;Three;Two pairs
Diamonds;Ten;Diamonds;Six;Hearts;Ten;Hearts;Six;Spades;Nine;Three of a kind
Hearts;Four;Hearts;Jack;Hearts;Two;Diamonds;Three;Diamonds;Ten;One pair
Hearts;Queen;Clubs;Three;Clubs;Queen;Hearts;Eight;Diamonds;Ten;Two pairs
Diamonds;Two;Clubs;Four;Diamonds;King;Diamonds;Queen;Spades;King;Two pairs
Clubs;Four;Diamonds;Ten;Hearts;Queen;Diamonds;Eight;Spades;Six;One pair
Spades;Jack;Diamonds;Four;Diamonds;Jack;Diamonds;Two;Clubs;Three;Two pairs
Diamonds;Five;Spades;Two;Spades;Jack;Clubs;Five;Spades;Nine;Two pairs
Clubs;Jack;Spades;Eight;Diamonds;Ten;Clubs;Six;Diamonds;Five;One pair
Hearts;Queen;Diamonds;Six;Clubs;King;Spades;Six;Spades;Ace;Two pairs
Hearts;Six;Diamonds;Two;Clubs;Seven;Hearts;Ten;Diamonds;Five;One pair
Clubs;Ten;Clubs;Jack;Spades;Queen;Hearts;Four;Spades;King;One pair
Clubs;Nine;Diamonds;Five;Hearts;Five;Spades;Two;Hearts;Four;Two pairs
Spades;Ace;Diamonds;Three;Diamonds;Five;Hearts;King;Spades;King;Two pairs
Clubs;Three;Diamonds;Four;Spades;Three;Diamonds;Queen;Diamonds;Nine;Two pairs
Diamonds;King;Clubs;Four;Hearts;Jack;Hearts;Eight;Diamonds;Six;One pair
Clubs;Ten;Spades;Nine;Spades;King;Clubs;Five;Spades;Ace;One pair
Diamonds;Two;Diamonds;Six;Clubs;Seven;Hearts;Nine;Clubs;Two;Two pairs
Spades;Jack;Hearts;Seven;Clubs;King;Diamonds;Ten;Spades;Two;One pair
Spades;Two;Clubs;Eight;Clubs;Five;Spades;Nine;Hearts;Seven;One pair
Diamonds;Nine;Diamonds;Four;Spades;Ten;Hearts;Seven;Hearts;Five;One pair
Clubs;Ten;Spades;Queen;Diamonds;Seven;Diamonds;Ace;Hearts;Eight;One pair
Spades;Jack;Hearts;Six;Clubs;Ten;Diamonds;Seven;Hearts;Four;One pair
Diamonds;Five;Hearts;Jack;Clubs;Four;Spades;Five;Hearts;King;Two pairs
Spades;Two;Diamonds;Jack;Hearts;Eight;Spades;Ten;Hearts;Jack;Two pairs
Clubs;Jack;Hearts;Ten;Spades;Three;Hearts;Nine;Spades;Seven;One pair
Diamonds;Two;Hearts;King;Clubs;Nine;Clubs;Two;Clubs;Seven;Two pairs
Hearts;Five;Diamonds;Six;Spades;Nine;Hearts;King;Spades;Seven;One pair
Spades;Queen;Hearts;Five;Diamonds;Queen;Clubs;Ten;Hearts;Four;Two pairs
Clubs;Three;Spades;Three;Diamonds;King;Hearts;Two;Hearts;Jack;Two pairs
Spades;Jack;Spades;Three;Clubs;Three;Clubs;Jack;Hearts;Six;Three of a kind
Diamonds;King;Diamonds;Queen;Hearts;Three;Hearts;Seven;Diamonds;Five;One pair
Spades;Nine;Diamonds;Four;Diamonds;Six;Clubs;Eight;Spades;Two;One pair
Spades;Ten;Spades;Five;Clubs;Nine;Diamonds;Two;Spades;Ace;One pair
Clubs;Two;Clubs;Three;Spades;Four;Spades;Ace;Spades;Eight;One pair
Hearts;Six;Diamonds;Four;Diamonds;Ten;Spades;Ace;Spades;Three;One pair
Hearts;Ace;Hearts;Jack;Clubs;Three;Clubs;Seven;Diamonds;Five;One pair
Hearts;Seven;Hearts;Ace;Spades;Queen;Diamonds;King;Clubs;Nine;One pair
Diamonds;Five;Clubs;Queen;Spades;King;Hearts;Eight;Hearts;Two;One pair
Hearts;Three;Hearts;Five;Hearts;Nine;Spades;Ace;Diamonds;Queen;One pair
Clubs;Queen;Diamonds;Ace;Diamonds;Two;Clubs;Five;Diamonds;Seven;One pair
Spades;Two;Clubs;King;Hearts;Ten;Clubs;Queen;Diamonds;Queen;Two pairs
Diamonds;Nine;Spades;Ace;Spades;Two;Diamonds;Ace;Spades;Three;Two pairs
Hearts;Jack;Clubs;King;Diamonds;Two;Hearts;Four;Clubs;Queen;One pair
Hearts;Eight;Diamonds;Queen;Hearts;Queen;Clubs;Ace;Diamonds;Ten;Two pairs
Spades;Queen;Clubs;Ten;Clubs;Ace;Spades;Two;Clubs;Two;Two pairs
Hearts;Four;Hearts;Ace;Spades;Queen;Clubs;Four;Diamonds;Six;Two pairs
Spades;Nine;Clubs;Six;Clubs;Jack;Spades;Ace;Spades;Three;One pair
Spades;Four;Spades;Three;Clubs;Nine;Diamonds;Queen;Clubs;Eight;One pair
Hearts;Queen;Hearts;Six;Hearts;Jack;Diamonds;King;Spades;Three;One pair
Spades;Ace;Clubs;Two;Clubs;Queen;Clubs;Ten;Clubs;Three;One pair
Clubs;Ace;Diamonds;Jack;Diamonds;Ten;Hearts;Ace;Hearts;Ten;Three of a kind
Hearts;Two;Diamonds;Five;Diamonds;Seven;Clubs;Jack;Clubs;Seven;Two pairs
Diamonds;Eight;Diamonds;King;Spades;Jack;Spades;Seven;Spades;Eight;Two pairs
Hearts;Seven;Hearts;Ace;Clubs;Queen;Spades;Ten;Hearts;Six;One pair
Clubs;Ace;Clubs;Nine;Diamonds;Six;Diamonds;Ace;Hearts;Ten;Two pairs
Clubs;Eight;Hearts;Queen;Hearts;Nine;Spades;Four;Clubs;King;One pair
Spades;Eight;Spades;Five;Spades;Ten;Diamonds;Eight;Clubs;Six;Two pairs
Diamonds;Eight;Spades;Four;Hearts;Jack;Clubs;Jack;Diamonds;Queen;Two pairs
Hearts;Nine;Diamonds;Six;Spades;Five;Spades;Nine;Hearts;Ace;Two pairs
Diamonds;Two;Hearts;Three;Diamonds;Four;Spades;King;Diamonds;King;Two pairs
Clubs;Nine;Clubs;Seven;Spades;Queen;Hearts;Seven;Spades;Six;Two pairs
Hearts;Ace;Hearts;Seven;Hearts;Two;Hearts;Six;Hearts;Five;Full house
Hearts;Three;Clubs;Jack;Hearts;Six;Clubs;Eight;Diamonds;Six;Two pairs
Clubs;Jack;Diamonds;Four;Clubs;Six;Spades;Five;Diamonds;Seven;One pair
Diamonds;Ten;Spades;Nine;Clubs;Six;Spades;Three;Clubs;Eight;One pair
Diamonds;Eight;Hearts;Three;Spades;Nine;Diamonds;Four;Clubs;Ace;One pair
Spades;Jack;Clubs;Three;Spades;Ten;Diamonds;Nine;Hearts;Four;One pair
Spades;Eight;Spades;Ace;Hearts;Eight;Spades;Ten;Hearts;Three;Two pairs
Spades;Ace;Clubs;Two;Diamonds;Three;Spades;Queen;Spades;Six;One pair
Clubs;Ace;Clubs;Three;Diamonds;Five;Spades;Ten;Spades;Six;One pair
Spades;Queen;Hearts;Four;Clubs;Ace;Clubs;Eight;Diamonds;Nine;One pair
Hearts;Jack;Hearts;Ten;Hearts;Queen;Diamonds;Eight;Hearts;Nine;Flush
Clubs;Ten;Hearts;Four;Hearts;Three;Clubs;Three;Spades;Ten;Three of a kind
Spades;Jack;Diamonds;Jack;Spades;Six;Diamonds;Three;Diamonds;King;Two pairs
Hearts;Ace;Spades;Five;Hearts;Two;Clubs;Ten;Spades;Ten;Two pairs
Hearts;Nine;Clubs;Five;Spades;Six;Clubs;Jack;Clubs;Eight;One pair
Clubs;Ace;Diamonds;Three;Clubs;Six;Hearts;Nine;Spades;Queen;One pair
Spades;Jack;Clubs;Eight;Diamonds;King;Clubs;Four;Spades;Nine;One pair
Clubs;Five;Clubs;Three;Spades;Seven;Hearts;Ace;Hearts;Five;Two pairs
Clubs;Ace;Hearts;Two;Clubs;Nine;Diamonds;Four;Diamonds;Eight;One pair
Diamonds;Five;Diamonds;Seven;Spades;Jack;Diamonds;Four;Spades;Three;One pair
Diamonds;King;Hearts;Jack;Spades;Nine;Spades;Seven;Hearts;King;Two pairs
Diamonds;Four;Diamonds;Three;Diamonds;Six;Spades;Five;Diamonds;King;One pair
